Season,Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
2018, Kelsey  Koelzer,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,-0.17,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,1,0,0
2018,Alexa Aramburu,MET,F,22207016,2018-10-21,MET,MIN,0,1,0,1,1,0.99,1,0,0,NA,0,0,0,0,0,0,7,5,0,0,0,0,0
2018,Alexa Gruschow,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,-1.07,1,0,0,NA,0,0,0,0,0,0,5,12,4,0,0,0,0
2018,Allie Thunstrom,MIN,F,22207016,2018-10-21,MET,MIN,2,0,0,2,2,2.55,5,0,0,NA,0,0,0,0,0,0,1,1,0,0,0,0,0
2018,Amanda Boulier,MIN,D|F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,0
2018,Amanda Kessel,MET,F,22207016,2018-10-21,MET,MIN,0,1,0,1,1,0.86,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amanda Leveille,MIN,G,22207016,2018-10-21,MET,MIN,0,0,0,0,0,1.3600000000000003,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,24,2
2018,Amy  Menke,MIN,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,-0.29000000000000004,0,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,0,0
2018,Amy Schlagel,MIN,F,22207016,2018-10-21,MET,MIN,0,0,1,1,0,0.69,2,0,0,NA,0,0,0,0,0,0,0,0,2,1,1,0,0
2018,Audra Richards,MET,F,22207016,2018-10-21,MET,MIN,1,0,0,1,1,1.22,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Chelsea Ziadie,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
