Season,event_team,home_skaters,away_skaters,event_player_1,event_player_2
2016,CTW,5,5,Nicole Kosta,Kelly Babstock
2016,BOS,5,5,Brianna Decker,Hilary Knight
2016,CTW,5,5,Kelli Stack,Haley Skarupa
2016,CTW,5,5,Kelly Babstock,Haley Skarupa
2016,CTW,5,4,Zoe Hickel,Dana Trivigno
2016,BOS,4,4,Jordan Smelker,Alexandra Bender
2016,BOS,4,4,Hilary Knight,NA
2016,BOS,5,4,Gigi Marvin,Brianna Decker
2016,BOS,5,5,Emily Field,Brianna Decker
2016,MET,5,5,Amanda Kessel,Janine Weber
2016,MET,5,5,Tatiana Rafter,Lauren Wash
2016,BOS,5,5,Hilary Knight,Alyssa Gagliardi
2016,MET,4,5,Amanda Kessel,Courtney Burke
2016,BOS,5,5,Meghan Duggan,Brianna Decker
2016,BOS,5,5,Hilary Knight,Gigi Marvin
2016,BOS,5,3,Brianna Decker,Kacey Bellamy
2016,BOS,5,5,Hilary Knight,Brianna Decker
2016,BOS,5,5,Kacey Bellamy,Alex Carpenter
2016,BOS,5,5,Brianna Decker,Alyssa Gagliardi
2016,BOS,5,5,Alex Carpenter,Brianna Decker
2016,BUF,5,5,Kourtney Kunichika,Ashley Vesci
2016,BOS,5,5,Brianna Decker,Alex Carpenter
2016,BOS,5,5,Kacey Bellamy,Meghan Duggan
2016,BOS,5,5,Jillian Dempsey,NA
2016,MET,5,5,Janine Weber,NA
2016,MET,5,5,Milica McMillen,Rebecca Russo
2016,BOS,4,5,Brianna Decker,Hilary Knight
2016,BOS,5,5,Meghan Duggan,Jillian Dempsey
2016,MET,5,4,Madison Packer,Amanda Kessel
2016,CTW,5,5,Haley Skarupa,Nicole Connery
2016,BUF,5,5,Megan Bozek,Shiann Darkangelo
2016,CTW,5,5,Kelly Babstock,Haley Skarupa
2016,CTW,5,5,Haley Skarupa,Kelly Babstock
2016,BUF,5,4,Emily Janiga,Emily Pfalzer
2016,CTW,4,4,Haley Skarupa,Kelly Babstock
2016,BUF,5,5,Kelley Steadman,Shiann Darkangelo
2016,BUF,5,4,Kourtney Kunichika,Anne Schleper
2016,BUF,5,5,Kelley Steadman,NA
2016,CTW,5,5,Nicole Connery,Kelli Stack
2016,CTW,5,5,Haley Skarupa,Kelli Stack
2016,CTW,5,5,Dana Trivigno,Ivana Bilic
2016,CTW,5,5,Haley Skarupa,Kelli Stack
2016,BUF,5,5,Emily Janiga,Lisa Chesson
2016,CTW,5,5,Kelli Stack,Kelly Babstock
2016,BUF,5,5,Devon Skeats,Megan Bozek
2016,BUF,5,5,Kelley Steadman,Shiann Darkangelo
2016,BUF,5,5,Kelley Steadman,Kourtney Kunichika
2016,CTW,5,5,Jordan Brickner,NA
2016,BUF,5,5,Corinne Buie,NA
2016,CTW,6,5,Kelly Babstock,Nicole Kosta
2016,MET,5,5,Rebecca Russo,Tatiana Rafter
2016,BUF,5,5,Corinne Buie,Kourtney Kunichika
2016,BUF,5,5,Emily Janiga,Devon Skeats
2016,MET,4,4,Kaleigh Fratkin,Kiira Dosdall
2016,MET,5,5,Miye D'Oench,Kaleigh Fratkin
2016,MET,5,4,Janine Weber,Miye D'Oench
2016,MET,4,5,Milica McMillen,Janine Weber
2016,BUF,5,4,Corinne Buie,Kourtney Kunichika
2016,BUF,5,4,Megan Bozek,Kelley Steadman
2016,BUF,5,4,Corinne Buie,Megan Bozek
2016,MET,5,5,Madison Packer,Rebecca Russo
2016,BUF,5,5,Shiann Darkangelo,Kelley Steadman
2016,BUF,5,5,Devon Skeats,Emily Janiga
2016,BUF,5,5,Jacquie Greco,Kourtney Kunichika
2016,MET,5,4,Alexa Gruschow,Kaleigh Fratkin
2016,MET,5,5,Madison Packer,Alexa Gruschow
2016,BUF,5,5,Emily Pfalzer,Devon Skeats
2016,BUF,5,5,Shiann Darkangelo,NA
2016,MET,5,4,Kiira Dosdall,Bray Ketchum
2016,BUF,5,5,Megan Bozek,Shiann Darkangelo
2016,CTW,5,5,Nicole Kosta,NA
2016,CTW,5,5,Kelli Stack,Ivana Bilic
2016,CTW,5,5,Sam Faber,Micaela Long
2016,CTW,5,5,Nicole Kosta,Nicole Connery
2016,BUF,3,5,Corinne Buie,Emily Pfalzer
2016,CTW,5,5,Kelli Stack,Dana Trivigno
2016,CTW,5,5,Sam Faber,Shannon Doyle
2016,BUF,5,5,Kelley Steadman,Kourtney Kunichika
2016,BUF,5,5,Devon Skeats,Emily Janiga
2016,BUF,5,4,Harrison Browne,Kourtney Kunichika
2016,CTW,5,4,Meghan   Huertas,Sam Faber
2016,CTW,5,5,Dana Trivigno,Kaliya Johnson
2016,CTW,5,5,Micaela Long,Sam Faber
2016,BUF,4,5,Corinne Buie,Kelley Steadman
2016,CTW,4,4,Meagan Mangene,Nicole Kosta
2016,BUF,5,5,Emily Janiga,Emily Pfalzer
2016,BUF,5,5,Devon Skeats,Kourtney Kunichika
2016,CTW,5,5,Kelli Stack,Cydney Roesler
2016,MET,5,5,Michelle Picard,Miye D'Oench
2016,MET,5,5,Janine Weber,Lauren Wash
2016,MET,5,5,Kiira Dosdall,Rebecca Russo
2016,MET,5,5,Lauren Wash,Milica McMillen
2016,BUF,5,4,Megan Bozek,NA
2016,BUF,5,5,Corinne Buie,Emily Janiga
2016,MET,5,5,Amanda Kessel,Kiira Dosdall
2016,BUF,5,4,Shiann Darkangelo,Harrison Browne
2016,MET,4,5,Amanda Kessel,Courtney Burke
2016,MET,5,5,Janine Weber,Amanda Kessel
2016,MET,5,5,Alexa Gruschow,Amanda Kessel
2016,MET,5,5,Tatiana Rafter,Kiira Dosdall
2016,BUF,5,5,Shiann Darkangelo,Emily Janiga
2016,BUF,5,5,Corinne Buie,Kourtney Kunichika
2016,CTW,5,4,Nicole Connery,Meghan   Huertas
2016,BUF,5,4,Megan Bozek,Corinne Buie
2016,CTW,5,5,Haley Skarupa,Shannon Doyle
2016,CTW,4,5,Nicole Kosta,Sam Faber
2016,BUF,5,5,Emily Janiga,Megan Bozek
2016,CTW,5,5,Kelli Stack,Shannon Doyle
2016,MET,5,5,Miye D'Oench,Madison Packer
2016,CTW,4,5,Nicole Connery,Nicole Kosta
2016,CTW,5,5,Nicole Kosta,Kelly Babstock
2016,MET,5,5,Courtney Burke,Rebecca Russo
2016,CTW,4,4,Molly Engstrom,Haley Skarupa
2016,CTW,5,5,Kelly Babstock,Haley Skarupa
2016,MET,5,5,Miye D'Oench,Michelle Picard
2016,MET,5,5,Rebecca Russo,Madison Packer
2016,MET,5,5,Rebecca Russo,Madison Packer
2016,MET,5,6,Janine Weber,Miye D'Oench
2016,CTW,5,5,Kelly Babstock,Nicole Kosta
2016,MET,5,5,Taylor Holze,Rebecca Russo
2016,MET,5,5,Ashley Johnston,Alexa Gruschow
2016,CTW,5,5,Kelly Babstock,Nicole Connery
2016,CTW,5,4,Kelly Babstock,NA
2016,CTW,5,5,Nicole Connery,Nicole Kosta
2016,MET,5,5,Courtney Burke,Janine Weber
2016,MET,5,5,Madison Packer,Janine Weber
2016,CTW,5,5,Micaela Long,Nicole Kosta
2016,CTW,5,5,Kelly Babstock,NA
2016,MET,5,5,Tatiana Rafter,Miye D'Oench
2016,MET,5,5,Tatiana Rafter,Bray Ketchum
2016,CTW,5,5,Haley Skarupa,Micaela Long
2016,CTW,5,5,Nicole Kosta,Micaela Long
