Season,game_id,game_date,home_team,away_team,home_score,away_score,play_index,period,min,sec,game_seconds,event_interval,event_type,event_team,event_player_1,event_player_2,event_player_3,event_detail,x_coord,y_coord,home_skaters,away_skaters,event_angle,event_distance,x_coord_2,y_coord_2,x_coord_1,y_coord_1,home_goalie,away_goalie,plus_player_1,plus_player_2,plus_player_3,plus_player_4,plus_player_5,plus_player_6,minus_player_1,minus_player_2,minus_player_3,minus_player_4,minus_player_5,minus_player_6,
2018,22207012,13/10/18,BOS,MET,0,1,34,1,1,9,1131,39,Shot,BOS,Lexi Bender,Katie  Fitzgerald,NA,NA,-75.5964,-24.7945,5,5,61.60489265,28.18552329,-75.5964,-24.7945,75.5964,24.7945,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,0,1,36,2,20,0,1200,69,Faceoff,MET,Kristin Lewicki,Dana Trivigno,NA,NA,0.198,-1.4195,5,5,0.915795059,88.81334463,0.198,-1.4195,0.198,-1.4195,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,37,2,18,57,1263,63,Goal,BOS,McKenna  Brand,Haley Skarupa,Lauren Kelly,NA,-69.1614,7.7945,5,5,21.44964851,21.31488401,-69.1614,7.7945,69.1614,-7.7945,Katie Burt,Katie  Fitzgerald,McKenna  Brand,Haley Skarupa,Mallory Souliotis,Alyssa Gagliardi,Gigi  Marvin,NA,Kiira Dosdall,Alexa Gruschow,Madison Packer,Chelsea Ziadie,Erika  Lawler,NA,
2018,22207012,13/10/18,BOS,MET,1,1,38,2,17,48,1332,69,Faceoff,BOS,Dana Trivigno,Kristin Lewicki,NA,NA,-23.9976,-19.8305,5,5,16.96555083,67.95999364,-23.9976,-19.8305,23.9976,19.8305,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,39,2,17,30,1350,18,Shot,BOS,Alyssa Gagliardi,Katie  Fitzgerald,NA,NA,-73.9926,-13.107,5,5,41.13295974,19.9252479,-73.9926,-13.107,73.9926,13.107,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,40,2,16,46,1394,44,Faceoff,BOS,McKenna  Brand,Amanda Kessel,NA,NA,-67.1418,18.4195,5,5,40.12021816,28.58424194,-67.1418,18.4195,67.1418,-18.4195,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,41,2,16,45,1395,1,Penalty,MET,Alexa Gruschow,NA,NA,2 Interference Minor,-66.7458,18.0625,5,5,39.06432277,28.66187928,-66.7458,18.0625,66.7458,-18.0625,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,42,2,15,17,1483,88,Faceoff,MET,Madison Packer,Dana Trivigno,NA,NA,-65.934,-20.1875,5,4,41.19260708,30.65249602,-65.934,-20.1875,65.934,20.1875,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,43,2,14,56,1504,21,Faceoff,BOS,Dana Trivigno,Alexa Aramburu,NA,NA,-22.374,21.25,5,4,17.68979954,69.9327275,-22.374,21.25,22.374,-21.25,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,44,2,14,49,1511,7,Faceoff,BOS,Dana Trivigno,Alexa Aramburu,NA,NA,-65.538,18.4195,5,4,38.13467865,29.82856725,-65.538,18.4195,65.538,-18.4195,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,45,2,14,21,1539,28,Faceoff,BOS,Dana Trivigno,Kristin Lewicki,NA,NA,66.7458,-20.893,5,5,43.1930425,30.52485654,66.7458,-20.893,66.7458,-20.893,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,46,2,14,5,1555,16,Shot,MET,Rebecca Russo,Katie Burt,NA,NA,68.7654,-9.5625,5,5,25.29455714,22.38035843,68.7654,-9.5625,68.7654,-9.5625,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,47,2,12,58,1622,67,Shot,BOS,McKenna  Brand,Katie  Fitzgerald,NA,NA,-79.6356,6.375,5,5,34.24584856,11.32839849,-79.6356,6.375,79.6356,-6.375,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,48,2,12,31,1649,27,Shot,BOS,Lauren Kelly,Katie  Fitzgerald,NA,NA,-42.9462,28.6875,5,5,31.91930549,54.25795012,-42.9462,28.6875,42.9462,-28.6875,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,49,2,10,49,1751,102,Shot,BOS,Gigi  Marvin,Katie  Fitzgerald,NA,NA,-73.5966,7.4375,5,5,25.77347796,17.1050033,-73.5966,7.4375,73.5966,-7.4375,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018,22207012,13/10/18,BOS,MET,1,1,50,2,9,29,1831,80,Faceoff,BOS,Dana Trivigno,Rebecca Russo,NA,NA,61.8948,-18.768,5,5,34.69924232,32.96861676,61.8948,-18.768,61.8948,-18.768,Katie Burt,Katie  Fitzgerald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
